DPMP,irca.2016,fake.irca,pob.2016,rural.2016,ing.2016
25326,35.051538,1,6924,0.713604853,8132.742202
25328,32.136153,3,3644,0.76180022,5603.061332
25335,7.890909,4,4959,0.694293204,12054.02959
25339,40.878,10,4174,0.725922377,9839.936958
25368,5.293333,4,2683,0.781960492,7675.804812
25372,15.865,7,8644,0.883155946,10601.333
25377,4.803225,1,27878,0.567723653,38779.883
25386,20.648723,6,31823,0.439336329,29456.36152
25394,35.793636,3,10824,0.620842572,10734.72017
25398,21.912222,1,7035,0.858706468,9408.827207
25402,0.634545,9,14326,0.62808879,22137.11244
25407,13.129166,5,10305,0.777292576,10875.207
25426,16.966363,5,6272,0.761320153,9926.995103
25430,2.85234,5,79120,0.129651163,58169.12461
25436,8.370833,3,4732,0.726120034,9996.495859
25438,10.906,10,10134,0.614564831,9497.993332
25473,6.217931,8,84841,0.0404875,138809.1597
25483,18.063333,6,2218,0.341749324,6321.985617
25486,6.392352,5,13707,0.580433355,11317.13408
25488,8.748333,8,18856,0.742893509,17836.40454
25489,10.729166,7,6810,0.567107195,9312.978
25491,2.013,5,8055,0.7663563,8225.886
25506,16.888333,5,4070,0.727518428,5923.681
25513,0.048571,5,27388,0.43153936,21843.55379
25518,5.733,9,4407,0.895620604,8868.587975
25524,21.48,1,5676,0.811486963,7836.91328
25530,24.097,10,7754,0.688547846,11792.729
25535,40.410769,7,12271,0.76635971,12361.66189
25572,18.4325,1,19009,0.245199642,20208.731
25580,5.475714,3,3007,0.777851679,5891.019134
25592,4.611578,10,4745,0.918229715,8247.733722
25594,9.794545,9,7193,0.773529821,12157.65927
25596,20.551818,10,8168,0.917360431,10288.45577
25599,12.790909,4,7812,0.596646185,10262.4904
25612,0,6,9579,0.533354212,35659.38015
25645,5.779333,7,13148,0.921661089,11118.02042
25649,2.9725,2,10705,0.611489958,14012.135
25653,12.859166,9,5348,0.861817502,6769.726278
25658,3.341176,6,9732,0.646526921,8186.147908
25662,28.06,2,9668,0.697455523,13595.63
25718,4.239565,6,10742,0.772016384,12375.95868
25736,11.222857,7,14410,0.750659264,12299.85718
25740,13.264444,5,39117,0.325306133,32999.95733
25743,16.212083,6,22020,0.713714805,25038.93174
25745,4.221818,9,13295,0.440541557,11839.71111
25754,0.939646,6,522442,0.011497927,343707.888
25758,4.387755,9,27339,0.357547825,32431.502
25769,8.495714,1,16435,0.624155765,12507.59012
25772,19.021935,6,17660,0.504133635,11290.054
25777,2.023333,9,5033,0.698787999,7157.543341
25779,2.553636,6,12592,0.486419949,8353.672
25781,16.881538,2,5643,0.68509658,6824.909791
25785,8.113157,3,27702,0.512273482,19711.30324
25793,2.864375,1,8905,0.878832117,8488.941424
25797,14.860714,1,9083,0.90652868,9516.40214
25799,2.193529,8,19963,0.523167861,53054.40783
25805,5.152727,2,4831,0.891533844,10918.85144
25807,21.688333,6,2946,0.832654447,5222.998
25815,2.542758,3,18501,0.405491595,17251.51426
25817,0,5,32821,0.572468846,129239.224
25823,14.801428,10,4513,0.81918901,5038.745542
25839,13.332727,4,10591,0.878953829,16000.05265
25841,23.88619,2,6106,0.856043236,8985.395235
25843,0.4294,1,39018,0.350402378,29998.31898
25845,6.5,5,9316,0.501610133,8386.763383
25851,1.54909,4,5016,0.453548644,7093.370586
25862,7.571,7,7684,0.798932847,10490.10543
25867,5.056363,9,4202,0.681104236,4720.159
25871,1.42,1,2176,0.713694853,5145.248371
25873,2.84,2,20056,0.668976865,17850.35332
25875,3.622857,7,25270,0.355322517,24139.5313
25878,21.783,8,13342,0.672837656,14595.33157
25885,21.528888,7,17010,0.764609053,18523.87775
25898,47.8085,1,5631,0.623690286,6637.959137
25899,1.098604,3,124376,0.122451277,122471.0951
27001,12.423888,9,115907,0.066993365,239095.611
27006,,7,9505,0.446712257,12758.497
